"Cat","Slug","Action","NewName","Folder","File","Caption","How"
"restaurants","dao-chinese-restaurant","skip:dup of dao-chinese-restaurant-2.jpg","","Food 2025","SEA25-0798.jpg","Chiang Mai - Dao","near-miss"
"restaurants","dao-chinese-restaurant","skip:dup of dao-chinese-restaurant-3.jpg","","Food 2025","SEA25-0799.jpg","Chiang Mai - Dao","near-miss"
"restaurants","daruma-izakaya","skip:dup of daruma-izakaya-1.jpg","","Food 2025","SEA25-0736.jpg","Chiang Mai - Daruma Izakaya","exact"
"restaurants","daruma-izakaya","skip:dup of daruma-izakaya-2.jpg","","Food 2025","SEA25-0737.jpg","Chiang Mai - Daruma Izakaya","exact"
"restaurants","deck-1","skip:dup of deck-1-1.jpg","","Food 2017","Thai17-0201.jpg","Chiang Mai - Deck 1","exact"
"restaurants","deck-1","skip:dup of deck-1-2.jpg","","Food 2017","Thai17-0202.jpg","Chiang Mai - Deck 1","exact"
"restaurants","deck-1","skip:dup of deck-1-3.jpg","","Food 2017","Thai17-0203.jpg","Chiang Mai - Deck 1","exact"
"restaurants","deck-1","skip:dup of deck-1-4.jpg","","Food 2017","Thai17-0204.jpg","Chiang Mai - Deck 1","exact"
"restaurants","deck-1","skip:dup of deck-1-5.jpg","","Food 2017","Thai17-0205.jpg","Chiang Mai - Deck 1","exact"
"restaurants","deck-1","skip:dup of deck-1-6.jpg","","Food 2017","Thai17-0206.jpg","Chiang Mai - Deck 1","exact"
"restaurants","ginza-sushi-bar","skip:dup of ginza-sushi-bar-1.jpg","","Food 2024","TH24-0220.jpg","Chiang Mai - Ginza Sushi","near-miss"
"cafes","herb-basics","skip:dup of herb-basics-1.jpg","","Food 2024","TH24-0079.jpg","Chiang Mai - Herb Basics","exact"
"restaurants","house-by-ginger","skip:dup of house-by-ginger-1.jpg","","Food 2017","Thai17-0136.jpg","Chiang Mai - The House by Ginger","exact"
"restaurants","house-by-ginger","skip:dup of house-by-ginger-2.jpg","","Food 2017","Thai17-0137.jpg","Chiang Mai - The House by Ginger","exact"
"restaurants","huen-muan-jai","skip:dup of huen-muan-jai-1.jpg","","Food 2024","TH24-0241.jpg","Chiang Mai - Huen Muan Jai","exact"
"restaurants","huen-phen","skip:dup of huen-phen-1.jpg","","Food 2024","TH24-0109.jpg","Chiang Mai - Huen Phen","exact"
"restaurants","jasmine","skip:dup of jasmine-1.jpg","","Food 2014","TH14-0141.jpg","Chiang Mai - Jasmine","exact"
"restaurants","jasmine","skip:dup of jasmine-2.jpg","","Food 2014","TH14-0142.jpg","Chiang Mai - Jasmine","exact"
"cafes","kalm-kitchen","skip:dup of kalm-kitchen-main.jpg","","more restos 2020-2026","TH24-0208.jpg","Chiang Mai - Kalm","near-miss"
"restaurants","khanom-jeen-tai-baan","skip:dup of khanom-jeen-tai-baan-1.jpg","","Food 2024","TH24-0212.jpg","Chiang Mai - Khanom Jeen Tai Baan","exact"
"street-food","khao-soi-mae-manee","skip:dup of khao-soi-mae-manee-1.jpg","","Food 2024","TH24-0232.jpg","Chiang Mai - Khao Soi Mae Manee","exact"
"street-food","khao-soi-mae-manee","skip:dup of khao-soi-mae-manee-main.jpg","","more restos 2020-2026","TH24-0231.jpg","Chiang Mai - Khao Soi Mae Manee","exact"
"street-food","khao-soi-maesai","skip:dup of khao-soi-maesai-1.jpg","","Food 2025","SEA25-0721.jpg","Chiang Mai - Khao Soi Maesai","exact"
"street-food","khao-soi-maesai","skip:dup of khao-soi-maesai-2.jpg","","Food 2025","SEA25-0722.jpg","Chiang Mai - Khao Soi Maesai","exact"
"restaurants","khaomao-khaofang","skip:dup of khaomao-khaofang-1.jpg","","Food 2025","SEA25-0820.jpg","Chiang Mai - Khaomao-Khaofang Imaginary Jungle","exact"
"restaurants","khaomao-khaofang","skip:dup of khaomao-khaofang-2.jpg","","Food 2025","SEA25-0821.jpg","Chiang Mai - Khaomao-Khaofang Imaginary Jungle","exact"
"restaurants","khaomao-khaofang","skip:dup of khaomao-khaofang-3.jpg","","Food 2025","SEA25-0822.jpg","Chiang Mai - Khaomao-Khaofang Imaginary Jungle","exact"
"cafes","lecker-cafe","skip:dup of lecker-cafe-1.jpg","","Food 2024","TH24-0068.jpg","Chiang Mai - Lecker","near-miss"
"cafes","lecker-cafe","skip:dup of lecker-cafe-main.jpg","","Food 2024","TH24-0097.jpg","Chiang Mai - Lecker","near-miss"
"cafes","lecker-cafe","skip:dup of lecker-cafe-main.jpg","","more restos 2020-2026","TH24-0097.jpg","Chiang Mai - Lecker","near-miss"
